abc,avar,white,black,hisp,asian,oth,female,dis,takeup,treat
10,-244,1,0,0,0,0,0,0,0,0
23,14,1,0,0,0,0,1,0,1,1
15,153,1,0,0,0,0,1,0,1,1
20,-109,0,1,0,0,0,0,0,0,0
2,-299,1,0,0,0,0,0,1,0,0
9,283,1,0,0,0,0,1,0,1,1
18,-316,1,0,0,0,0,0,0,0,0
11,145,1,0,0,0,0,0,0,1,1
26,343,0,1,0,0,0,1,0,1,1
24,165,0,1,0,0,0,0,0,1,1
25,250,1,0,0,0,0,0,0,1,1
25,339,1,0,0,0,0,0,0,1,1
0,-357,0,0,1,0,0,1,0,0,0
26,243,0,1,0,0,0,0,0,1,1
0,-30,1,0,0,0,0,0,0,0,0
18,61,1,0,0,0,0,1,0,1,1
11,-339,1,0,0,0,0,1,0,0,0
0,4,0,1,0,0,0,0,1,0,1
17,205,1,0,0,0,0,1,0,1,1
23,123,0,1,0,0,0,0,0,1,1
26,145,1,0,0,0,0,1,0,1,1
2,-87,1,0,0,0,0,1,0,0,0
25,270,1,0,0,0,0,0,0,1,1
26,146,0,1,0,0,0,1,0,1,1
26,205,1,0,0,0,0,1,0,1,1
17,-143,0,1,0,0,0,1,0,0,0
26,145,1,0,0,0,0,1,0,1,1
0,-222,0,0,1,0,0,0,1,0,0
12,-36,1,0,0,0,0,0,0,0,0
4,-95,1,0,0,0,0,1,0,0,0
26,325,1,0,0,0,0,1,0,1,1
4,-75,1,0,0,0,0,1,0,0,0
0,-29,0,0,1,0,0,0,0,0,0
12,32,0,0,1,0,0,0,0,1,1
19,-230,0,1,0,0,0,1,0,0,0
25,-342,1,0,0,0,0,0,0,0,0
5,-219,1,0,0,0,0,1,0,0,0
4,-132,0,1,0,0,0,0,0,0,0
1,-305,1,0,0,0,0,0,1,0,0
26,-252,1,0,0,0,0,1,0,0,0
24,76,0,1,0,0,0,1,0,1,1
8,-251,0,1,0,0,0,1,0,0,0
24,135,0,1,0,0,0,0,0,1,1
13,283,1,0,0,0,0,1,0,1,1
23,296,0,0,1,0,0,1,0,1,1
24,45,0,1,0,0,0,0,0,1,1
5,14,0,0,1,0,0,0,0,1,1
26,128,0,1,0,0,0,1,0,1,1
0,-228,0,0,1,0,0,0,0,0,0
5,74,0,0,0,1,0,0,0,1,1
26,70,0,1,0,0,0,0,0,1,1
5,-286,1,0,0,0,0,0,0,0,0
24,-261,0,0,0,1,0,1,0,0,0
4,-184,0,1,0,0,0,1,1,0,0
24,168,1,0,0,0,0,1,0,1,1
5,-326,1,0,0,0,0,0,0,0,0
25,137,1,0,0,0,0,1,0,1,1
26,149,0,0,0,1,0,0,0,1,1
3,132,0,1,0,0,0,0,0,1,1
6,-207,0,1,0,0,0,1,0,0,0
25,239,0,1,0,0,0,1,0,1,1
0,-112,0,0,1,0,0,1,0,0,0
19,195,1,0,0,0,0,1,0,1,1
26,361,1,0,0,0,0,0,1,1,1
24,66,0,0,1,0,0,1,0,1,1
26,332,0,1,0,0,0,0,0,1,1
17,180,1,0,0,0,0,1,0,1,1
13,-29,0,1,0,0,0,1,0,0,0
8,64,1,0,0,0,0,0,0,1,1
25,52,0,1,0,0,0,1,0,1,1
14,-14,0,1,0,0,0,0,0,0,0
26,67,1,0,0,0,0,0,0,1,1
26,-279,0,1,0,0,0,0,0,0,0
0,-221,0,1,0,0,0,1,0,0,0
25,120,1,0,0,0,0,1,0,1,1
21,55,0,0,1,0,0,1,0,1,1
23,-173,0,1,0,0,0,0,0,0,0
